"TOTAL_AREA","PID","CITY_CODE","PROP_NAME","SITUS","CITY_SITUS","ZIP_SITUS","county","latitude","longitude","location_type","good","building_type"
"282422000000016","324","LBV","ROYAL PLAZA HOTEL","1905 HOTEL PLAZA BLVD","LAKE BUENA VISTA","32830","","28.376808166503906","-81.50698852539062","ROOFTOP","1","commercial"
"282313883300060","324","ORL","UNIVERSAL STUDIOS, SOUND STAGES","5858 UNIVERSAL STUDIOS PLZ","ORLANDO","32819","","28.47524070739746","-81.47107696533203","ROOFTOP","1","commercial"
"292226593600022","323","ORL","GRAND BOHEMIAN HOTEL","325 S ORANGE AVE","ORLANDO","32801","","28.53868293762207","-81.37854766845703","ROOFTOP","1","commercial"
"282411000000015","322","ORG","RESIDENCE INN BY MARRIOTT SEAWORLD","11000 WESTWOOD BLVD","ORLANDO","32821","","28.40593147277832","-81.4766845703125","ROOFTOP","1","commercial"
"292317566100051","322","ORL","IKEA","4092 EASTGATE DR","ORLANDO","32839","","28.483013153076172","-81.42728424072266","ROOFTOP","1","commercial"
"322331385900020","321","ORG","INTERNATIONAL CORPORATE PARK","7500 AMSTERDAM DR","ORLANDO","32832","","28.445985794067383","-81.15856170654297","ROOFTOP","1","commercial"
"292308907300010","318","ORL","QUORUM CENTER","4401 VINELAND RD","ORLANDO","32811","","28.49905014038086","-81.43170928955078","ROOFTOP","1","commercial"
"292404824202000","314","ORG","SOUTHRIDGE COMMERCE PARK BLDG 3-6","9400 SOUTHRIDGE PARK CT","ORLANDO","32819","","28.431066513061523","-81.41692352294922","ROOFTOP","1","commercial"
"292406716900040","314","ORG","CONVENTION CENTER PARKING","5980 DESTINATION PKWY","ORLANDO","32819","","28.422962188720703","-81.45598602294922","ROOFTOP","1","commercial"
"292334726808020","312","ORG","CROSSROADS DISTRIBUTION CENTER","1075 GILLS DR","ORLANDO","32824","","28.4404239654541","-81.3951187133789","ROOFTOP","1","commercial"
"292327809300010","311","ORG","SKYVIEW SHOPPING PLAZA","7609 S ORANGE BLOSSOM TRL","ORLANDO","32809","","28.452007293701172","-81.39923858642578","ROOFTOP","1","commercial"
"282115396000010","310","APK","APOPKA BUSINESS COMPLEX","1350 SHEELER AVE","APOPKA","32703","","28.65945053100586","-81.49520111083984","ROOFTOP","1","commercial"
"292224448301000","308","ORL","LAKE HIGHLAND PREPARATORY SCHOOL","901 HIGHLAND AVE","ORLANDO","32803","","28.55780029296875","-81.37202453613281","ROOFTOP","1","commercial"
"282422891500050","308","ORG","CLARION INN","8442 PALM PKWY","ORLANDO","32836","","28.386938095092773","-81.4982681274414","ROOFTOP","1","commercial"
"292328636404000","308","ORG","PRESIDENT V","7536 PRESIDENTS DR","ORLANDO","32809","","28.45572280883789","-81.41710662841797","ROOFTOP","1","commercial"
"292319272200010","305","ORL","HOLIDAY INN / TGI FRIDAYS","5905 S KIRKMAN RD","ORLANDO","32819","","28.476463317871094","-81.45738983154297","ROOFTOP","1","commercial"
